University,Faculty,Department,"Title, Name and Surname"
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Aliriza Sisman
Dokuz Eylul Universitesi,Dis Hekimligi Fakultesi,Klinik Bilimler Bolumu,Profesor Aliye Akcali
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Profesor Alpaslan Turgut
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Cevre Muhendisligi Bolumu,Profesor Alper Elci
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Alper Soylu
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Amac Kiray
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Psikoloji Bolumu,Profesor Arzu Araz
Dokuz Eylul Universitesi,Guzel Sanatlar Fakultesi,Heykel Bolumu,Profesor Arzu Atil
Dokuz Eylul Universitesi,Fizik Tedavi Ve Rehabilitasyon Fakultesi,Fizyoterapi Ve Rehabilitasyon Bolumu,Profesor Arzu Genc
Dokuz Eylul Universitesi,Fen Fakultesi,Biyoloji Bolumu,Profesor Arzu Gormez
Dokuz Eylul Universitesi,Deniz Bilimleri Ve Teknolojisi Enstitusu,Deniz Bilimleri Anabilim Dali,Profesor Asli Kacar
Dokuz Eylul Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Isletme Bolumu,Profesor Asli Ozdemir
Dokuz Eylul Universitesi,Izmir Devlet Konservatuvari,Muzik Bolumu,Profesor Asli Tuncay
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Egitim Bilimleri Bolumu,Profesor Asli Uz Bas
Dokuz Eylul Universitesi,Guzel Sanatlar Fakultesi,Sahne Sanatlari Bolumu,Profesor Aslihan Unlu
Dokuz Eylul Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Maliye Bolumu,Profesor Asuman Altay
Dokuz Eylul Universitesi,Isletme Fakultesi,Isletme Bolumu,Profesor Askin Ozdagoglu
