University,Faculty,Department,"Title, Name and Surname"
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Egitim Bilimleri Bolumu,Doktor Ogretim Uyesi Sebahat Sevgi Uygur
Dokuz Eylul Universitesi,Fen Fakultesi,Matematik Bolumu,Doktor Ogretim Uyesi Secil Gergun
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Jeofizik Muhendisligi Bolumu,Doktor Ogretim Uyesi Secil Turan Karaoglan
Dokuz Eylul Universitesi,Isletme Fakultesi,Iktisat Bolumu,Doktor Ogretim Uyesi Seckin Yildirim
Dokuz Eylul Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Isletme Bolumu,Doktor Ogretim Uyesi Sedef Gulsum Aksu
Dokuz Eylul Universitesi,Isletme Fakultesi,Isletme Bolumu,Doktor Ogretim Uyesi (unvan:docent) Selcen Kilicaslan Gokoglu
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Psikoloji Bolumu,Doktor Ogretim Uyesi Selva Ulbe Agirbasarap
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Doktor Ogretim Uyesi Sema Alp Cavus
Dokuz Eylul Universitesi,Guzel Sanatlar Fakultesi,Geleneksel Turk Sanatlari Bolumu,Doktor Ogretim Uyesi (unvan:docent) Serap Isikhan
Dokuz Eylul Universitesi,Dis Hekimligi Fakultesi,Klinik Bilimler Bolumu,Doktor Ogretim Uyesi Serap Titiz Yurdakal
Dokuz Eylul Universitesi,Hukuk Fakultesi,Kamu Hukuku Bolumu,Doktor Ogretim Uyesi Serdar Narin
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Metalurji Ve Malzeme Muhendisligi Bolumu,Doktor Ogretim Uyesi (unvan:docent) Serdar Yildirim
Dokuz Eylul Universitesi,Guzel Sanatlar Fakultesi,Muzikoloji Bolumu,Doktor Ogretim Uyesi Serhat Durmaz
Dokuz Eylul Universitesi,Denizcilik Fakultesi,Denizcilik Isletmeleri Yonetimi Bolumu,Doktor Ogretim Uyesi Serim Paker
Dokuz Eylul Universitesi,Hukuk Fakultesi,Kamu Hukuku Bolumu,Doktor Ogretim Uyesi Serkan Ekiz
Dokuz Eylul Universitesi,Saglik Hizmetleri Meslek Yuksekokulu,Tibbi Hizmetler Ve Teknikler Bolumu,Doktor Ogretim Uyesi (unvan:docent) Serpil Mungan Durankaya
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Cevre Muhendisligi Bolumu,Doktor Ogretim Uyesi Sevgi Tokgoz Gunes
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Doktor Ogretim Uyesi (unvan:docent) Sevil Akcaglar
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Doktor Ogretim Uyesi Sevim Cakar
Dokuz Eylul Universitesi,Ilahiyat Fakultesi,Islam Tarihi Ve Sanatlari Bolumu,Doktor Ogretim Uyesi Seyfullah Palali
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Ozel Egitim Bolumu,Doktor Ogretim Uyesi Sila Balim
Dokuz Eylul Universitesi,Guzel Sanatlar Fakultesi,Sahne Sanatlari Bolumu,Doktor Ogretim Uyesi (unvan:docent) Sibel Erdenk
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Matematik Ve Fen Bilimleri Egitimi Bolumu,Doktor Ogretim Uyesi Simge Koc
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Doktor Ogretim Uyesi Suleyman Dolu
Dokuz Eylul Universitesi,Ilahiyat Fakultesi,Islam Tarihi Ve Sanatlari Bolumu,Doktor Ogretim Uyesi Suleyman Genc
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Endustri Muhendisligi Bolumu,Doktor Ogretim Uyesi Sebnem Demirkol Akyol
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Jeofizik Muhendisligi Bolumu,Doktor Ogretim Uyesi (unvan:docent) Senol Ozyalin
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Maden Muhendisligi Bolumu,Doktor Ogretim Uyesi Tahir Malli
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Doktor Ogretim Uyesi Talha Basar Koc
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Rus Dili Ve Edebiyati Bolumu,Doktor Ogretim Uyesi Tamilla Aliyeva
Dokuz Eylul Universitesi,Izmir Meslek Yuksekokulu,Elektronik Ve Otomasyon Bolumu,Doktor Ogretim Uyesi Taner Akkan
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Doktor Ogretim Uyesi (unvan:docent) Taner Goktas
Dokuz Eylul Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Doktor Ogretim Uyesi (unvan:docent) Tayfun Bisgin
Dokuz Eylul Universitesi,Hukuk Fakultesi,Kamu Hukuku Bolumu,Doktor Ogretim Uyesi (unvan:docent) Tijen Dundar Sezer
Dokuz Eylul Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Iktisat Bolumu,Doktor Ogretim Uyesi Timucin Yalcinkaya
Dokuz Eylul Universitesi,Efes Meslek Yuksekokulu,Gida Isleme Bolumu,Doktor Ogretim Uyesi Tolga Akcan
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Egitim Bilimleri Bolumu,Doktor Ogretim Uyesi (unvan:docent) Tuba Bagatarhan
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Doktor Ogretim Uyesi Tuba Evgin
Dokuz Eylul Universitesi,Necat Hepkon Spor Bilimleri Fakultesi,Beden Egitimi Ve Spor Bolumu,Doktor Ogretim Uyesi (unvan:docent) Tugbay Inan
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Maden Muhendisligi Bolumu,Doktor Ogretim Uyesi Tugce Ongen
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Doktor Ogretim Uyesi Tugce Ozdamar Kul
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Sosyoloji Bolumu,Doktor Ogretim Uyesi (unvan:docent) Turgut Gumusoglu
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Guzel Sanatlar Egitimi Bolumu,Doktor Ogretim Uyesi (unvan:docent) Tulay Ekici
Dokuz Eylul Universitesi,Hukuk Fakultesi,Kamu Hukuku Bolumu,Doktor Ogretim Uyesi (unvan:docent) Turker Ertas
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Karsilastirmali Edebiyat Bolumu,Doktor Ogretim Uyesi Ufuk Gundogan
Dokuz Eylul Universitesi,Hukuk Fakultesi,Kamu Hukuku Bolumu,Doktor Ogretim Uyesi (unvan:docent) Ugur Samanci
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Muzecilik Bolumu,Doktor Ogretim Uyesi Urungu Akgul
Dokuz Eylul Universitesi,Hemsirelik Fakultesi,Hemsirelik Bolumu,Doktor Ogretim Uyesi Veysel Karani Baris
Dokuz Eylul Universitesi,Denizcilik Fakultesi,Lojistik Yonetimi Bolumu,Doktor Ogretim Uyesi Volkan Cetinkaya
Dokuz Eylul Universitesi,Veteriner Fakultesi,Klinik Oncesi Bilimleri Bolumu,Doktor Ogretim Uyesi (unvan:docent) Volkan Ozavci
Dokuz Eylul Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Kamu Yonetimi Bolumu,Doktor Ogretim Uyesi Yakup Ozkaya
Dokuz Eylul Universitesi,Edebiyat Fakultesi,Tarih Bolumu,Doktor Ogretim Uyesi Yakup Ozturk
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Bilgisayar Ve Ogretim Teknolojileri Egitimi Bolumu,Doktor Ogretim Uyesi Yasemin Kahyaoglu Erdogmus
Dokuz Eylul Universitesi,Hemsirelik Fakultesi,Hemsirelik Bolumu,Doktor Ogretim Uyesi Yasemin Selekoglu Ok
Dokuz Eylul Universitesi,Guzel Sanatlar Fakultesi,Sahne Sanatlari Bolumu,Doktor Ogretim Uyesi (unvan:docent) Yasemin Sevim Salman
Dokuz Eylul Universitesi,Veteriner Fakultesi,Temel Bilimler Bolumu,Doktor Ogretim Uyesi Yasemin Ustundag
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Egitim Bilimleri Bolumu,Doktor Ogretim Uyesi Yasar Yavuz
Dokuz Eylul Universitesi,Hukuk Fakultesi,Ozel Hukuk Bolumu,Doktor Ogretim Uyesi Yasar Can Goksoy
Dokuz Eylul Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Kamu Yonetimi Bolumu,Doktor Ogretim Uyesi Yasar Metin Ozdemir
Dokuz Eylul Universitesi,Saglik Hizmetleri Meslek Yuksekokulu,Tibbi Hizmetler Ve Teknikler Bolumu,Doktor Ogretim Uyesi Yavuz Dogan
Dokuz Eylul Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Doktor Ogretim Uyesi Yavuz Oktay
Dokuz Eylul Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Doktor Ogretim Uyesi Yelda Deligoz Bildaci
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Cevre Muhendisligi Bolumu,Doktor Ogretim Uyesi (unvan:docent) Yetkin Dumanoglu
Dokuz Eylul Universitesi,Hukuk Fakultesi,Kamu Hukuku Bolumu,Doktor Ogretim Uyesi (unvan:docent) Yildirim Taylar
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Yabanci Diller Egitimi Bolumu,Doktor Ogretim Uyesi (unvan:docent) Yildiz Aydin
Dokuz Eylul Universitesi,Guzel Sanatlar Fakultesi,Temel Egitim Bolumu,Doktor Ogretim Uyesi (unvan:docent) Yildiz Ersagdic
Dokuz Eylul Universitesi,Torbali Meslek Yuksekokulu,Madencilik Ve Maden Cikarma Bolumu,Doktor Ogretim Uyesi (unvan:docent) Yildizay Ayyildiz Selimoglu
Dokuz Eylul Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Doktor Ogretim Uyesi Yunus Dogan
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Matematik Ve Fen Bilimleri Egitimi Bolumu,Doktor Ogretim Uyesi Yusuf Erkus
Dokuz Eylul Universitesi,Guzel Sanatlar Fakultesi,Film Tasarimi Ve Yonetmenligi Bolumu,Doktor Ogretim Uyesi (unvan:docent) Zehra Cerrahoglu
Dokuz Eylul Universitesi,Isletme Fakultesi,Turizm Isletmeciligi Bolumu,Doktor Ogretim Uyesi Zehra Ceren Miral Cavdirli
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Matematik Ve Fen Bilimleri Egitimi Bolumu,Doktor Ogretim Uyesi Zekiye Ozgur
Dokuz Eylul Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Doktor Ogretim Uyesi (unvan:docent) Zeynep Bayramoglu
Dokuz Eylul Universitesi,Mimarlik Fakultesi,Mimarlik Bolumu,Doktor Ogretim Uyesi Zeynep Dundar
Dokuz Eylul Universitesi,Izmir Uluslararasi BiyoTip Ve Genom Enstitusu,BiyoTip Ve Saglik Teknolojileri Anabilim Dali,Doktor Ogretim Uyesi Zeynep Ahsen Kocer
Dokuz Eylul Universitesi,Guzel Sanatlar Fakultesi,Grafik Sanatlar Bolumu,Doktor Ogretim Uyesi Ziyacan Bayar
Dokuz Eylul Universitesi,Buca Egitim Fakultesi,Temel Egitim Bolumu,Doktor Ogretim Uyesi Zubeyde Dogan
Ege Universitesi,Turk Dunyasi Arastirmalari Enstitusu,Turk Tarihi Anabilim Dali,Profesor Abdullah Temizkan
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Abdullah Zeki Karasu
Ege Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Abdurrahim Derbent
Ege Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Iktisat Bolumu,Profesor Abdurrahman Nazif Catik
Ege Universitesi,Ziraat Fakultesi,Bahce Bitkileri Bolumu,Profesor Adalet Misirli
Ege Universitesi,Ziraat Fakultesi,Tarim Makineleri Ve Teknolojileri Muhendisligi Bolumu,Profesor Adnan Degirmencioglu
Ege Universitesi,Ziraat Fakultesi,Peyzaj Mimarligi Bolumu,Profesor Adnan Kaplan
Ege Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Adnan Simsir
Ege Universitesi,Su Urunleri Fakultesi,Su Urunleri Avlama Ve Isleme Teknolojisi Bolumu,Profesor Adnan Tokac
Ege Universitesi,Cesme Turizm Fakultesi,Turizm Isletmeciligi Bolumu,Profesor Adnan Turksoy
Ege Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Adnan Yuksel Guruz
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Afig Berdeli
Ege Universitesi,Ziraat Fakultesi,Bahce Bitkileri Bolumu,Profesor Ahmet Altindisli
Ege Universitesi,Muhendislik Fakultesi,Deri Muhendisligi Bolumu,Profesor Ahmet Aslan
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ahmet Aydin
Ege Universitesi,Muhendislik Fakultesi,Tekstil Muhendisligi Bolumu,Profesor Ahmet Cay
Ege Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Ahmet Celik
Ege Universitesi,Tire Kutsan Meslek Yuksekokulu,Bilgisayar Teknolojileri Bolumu,Profesor Ahmet Kaya
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ahmet Keskinoglu
Ege Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Ahmet Aydin Ozsaran
Ege Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Ahmet Baris Altay
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ahmet Gokhan Ozgen
Ege Universitesi,Edebiyat Fakultesi,Arkeoloji Bolumu,Profesor Ahmet Kaan Senol
Ege Universitesi,Su Urunleri Fakultesi,Su Urunleri Temel Bilimleri Bolumu,Profesor Ahmet Kerem Bakir
Ege Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Ahmet Mete Ergenoglu
Ege Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Ahmet Ozgur Yeniel
Ege Universitesi,Fen Fakultesi,Matematik Bolumu,Profesor Alev Firat
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Alev Gurgun
Ege Universitesi,Iletisim Fakultesi,"Radyo, Televizyon Ve Sinema Bolumu",Profesor Alev Fatos Parsa
Ege Universitesi,Ataturk Saglik Hizmetleri Meslek Yuksekokulu,Tibbi Hizmetler Ve Teknikler Bolumu,Profesor Ali Eksi
Ege Universitesi,Turk Dunyasi Arastirmalari Enstitusu,Turk Dunyasi Edebiyatlari Anabilim Dali,Profesor Ali Erol
Ege Universitesi,Dis Hekimligi Fakultesi,Klinik Bilimler Bolumu,Profesor Ali Gurkan
Ege Universitesi,Su Urunleri Fakultesi,Su Urunleri Temel Bilimleri Bolumu,Profesor Ali Ilhan
Ege Universitesi,Su Urunleri Fakultesi,Su Urunleri Avlama Ve Isleme Teknolojisi Bolumu,Profesor Ali Kara
Ege Universitesi,Fen Fakultesi,Biyokimya Bolumu,Profesor Ali Kilinc
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ali Kokuludag
Ege Universitesi,Fen Fakultesi,Istatistik Bolumu,Profesor Ali Mert
Ege Universitesi,Su Urunleri Fakultesi,Su Urunleri Avlama Ve Isleme Teknolojisi Bolumu,Profesor Ali Ulas
Ege Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Ali Veral
Ege Universitesi,Turk Dunyasi Arastirmalari Enstitusu,Turk Tarihi Anabilim Dali,Profesor Ali Osman Karatay
Ege Universitesi,Dis Hekimligi Fakultesi,Klinik Bilimler Bolumu,Profesor Ali Riza Alpoz
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ali Saffet Gonul
Ege Universitesi,Su Urunleri Fakultesi,Su Urunleri Yetistiriciligi Bolumu,Profesor Ali Yildirim Korkut
Ege Universitesi,Turk Dunyasi Arastirmalari Enstitusu,Turk Halk Bilimi Anabilim Dali,Profesor Alimcan Inayet
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Aliye Mandiracioglu
Ege Universitesi,Bolumu,,"Profesor (kismi Zamanli, Yurt Disi) Alp Numanoglu"
Ege Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Iktisat Bolumu,Profesor Alp Yucel Kaya
Ege Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Alpaslan Cakan
Ege Universitesi,Fen Fakultesi,Matematik Bolumu,Profesor Alpay Kirlangic
Ege Universitesi,Fen Fakultesi,Biyokimya Bolumu,Profesor Alper Akkaya
Ege Universitesi,Egitim Fakultesi,Egitim Bilimleri Bolumu,Profesor Alper Basbay
Ege Universitesi,Su Urunleri Fakultesi,Su Urunleri Temel Bilimleri Bolumu,Profesor Alper Dogan
Ege Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Profesor Alper Sezer
Ege Universitesi,Su Urunleri Fakultesi,Su Urunleri Avlama Ve Isleme Teknolojisi Bolumu,Profesor Altan Lok
Ege Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Altug Yavasoglu
Ege Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Anil Ziya Apaydin
Ege Universitesi,Ziraat Fakultesi,Tarim Makineleri Ve Teknolojileri Muhendisligi Bolumu,Profesor Arif Behic Tekin
Ege Universitesi,Muhendislik Fakultesi,Tekstil Muhendisligi Bolumu,Profesor Arif Taner Ozguney
Ege Universitesi,Muhendislik Fakultesi,Deri Muhendisligi Bolumu,Profesor Arife Candas Adiguzel Zengin
Ege Universitesi,Fen Fakultesi,Kimya Bolumu,Profesor Armagan Kinal
Ege Universitesi,Dis Hekimligi Fakultesi,Klinik Bilimler Bolumu,Profesor Arzu Aykut Yetkiner
Ege Universitesi,Muhendislik Fakultesi,Tekstil Muhendisligi Bolumu,Profesor Arzu Marmarali
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Arzu Yagiz On
Ege Universitesi,Hemsirelik Fakultesi,Hemsirelik Bolumu,Profesor Asiye Akyol
Ege Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Iktisat Bolumu,Profesor Asiye Ozlem Onder
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Asiye Simin Hepguler
Ege Universitesi,Su Urunleri Fakultesi,Su Urunleri Avlama Ve Isleme Teknolojisi Bolumu,Profesor Asli Cadun Yunlu
Ege Universitesi,Muhendislik Fakultesi,Tekstil Muhendisligi Bolumu,Profesor Asli Demir
Ege Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Uluslararasi Iliskiler Bolumu,Profesor Aslihan Aykac Yanardag
Ege Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Aslihan Esra Yuksel
Ege Universitesi,Dis Hekimligi Fakultesi,Klinik Bilimler Bolumu,Profesor Aslihan Mediha Erdinc
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Asude Durmaz
Ege Universitesi,Fen Fakultesi,Biyoloji Bolumu,Profesor Askim Hediye Cetinel
Ege Universitesi,Fen Fakultesi,Biyoloji Bolumu,Profesor Atac Uzel
Ege Universitesi,Edebiyat Fakultesi,Arkeoloji Bolumu,Profesor Atilla Batmaz
Ege Universitesi,Edebiyat Fakultesi,Amerikan Kulturu Ve Edebiyati Bolumu,Profesor Atilla Silku
Ege Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Profesor Aybars Ugur
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ayca Aykut
Ege Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Iktisat Bolumu,Profesor Aydanur Gacener Atis
Ege Universitesi,Muhendislik Fakultesi,Makine Muhendisligi Bolumu,Profesor Aydogan Ozdamar
Ege Universitesi,Muhendislik Fakultesi,Elektrik-elektronik Muhendisligi Bolumu,Profesor Aydogan Savran
Ege Universitesi,Eczacilik Fakultesi,Temel Eczacilik Bilimleri Bolumu,Profesor Ayfer Yalcin
Ege Universitesi,Nukleer Bilimler Enstitusu,Nukleer Uygulamalar Anabilim Dali,Profesor Ayfer Yurt Kilcar
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ayhan Donmez
Ege Universitesi,Fen Fakultesi,Biyoloji Bolumu,Profesor Ayhan Senkardesler
Ege Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Isletme Bolumu,Profesor Aykan Candemir
Ege Universitesi,Fen Fakultesi,Biyoloji Bolumu,Profesor Aykut Guvensen
Ege Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Iktisat Bolumu,Profesor Aykut Lenger
Ege Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Isletme Bolumu,Profesor Ayla Ozhan Dedeoglu
Ege Universitesi,Iletisim Fakultesi,Halkla Iliskiler Ve Tanitim Bolumu,Profesor Aylin Goztas
Ege Universitesi,Muhendislik Fakultesi,Bilgisayar Muhendisligi Bolumu,Profesor Aylin Kantarci
Ege Universitesi,Edebiyat Fakultesi,Arkeoloji Bolumu,Profesor Aylin Umit Erdem Otman
Ege Universitesi,Dis Hekimligi Fakultesi,Klinik Bilimler Bolumu,Profesor Aynur Aras
Ege Universitesi,Muhendislik Fakultesi,Biyomuhendislik Bolumu,Profesor Aynur Gurel
Ege Universitesi,Su Urunleri Fakultesi,Su Urunleri Yetistiriciligi Bolumu,Profesor Aynur Lok
Ege Universitesi,Hemsirelik Fakultesi,Hemsirelik Bolumu,Profesor Aynur Tureyen
Ege Universitesi,Hemsirelik Fakultesi,Hemsirelik Bolumu,Profesor Aynur Uysal Toraman
Ege Universitesi,Fen Fakultesi,Matematik Bolumu,Profesor Aysun Aytac
Ege Universitesi,Edebiyat Fakultesi,Psikoloji Bolumu,Profesor Aysun Dogan
Ege Universitesi,Su Urunleri Fakultesi,Su Urunleri Yetistiriciligi Bolumu,Profesor Aysun Kop
Ege Universitesi,Nukleer Bilimler Enstitusu,Nukleer Bilimler Anabilim Dali,Profesor Aysun Ugur Gorgun
Ege Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Ayse Caner
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ayse Erol
Ege Universitesi,Ziraat Fakultesi,Bahce Bitkileri Bolumu,Profesor Ayse Gul
Ege Universitesi,Muhendislik Fakultesi,Biyomuhendislik Bolumu,Profesor Ayse Nalbantsoy
Ege Universitesi,Ziraat Fakultesi,Tarim Ekonomisi Bolumu,Profesor Ayse Uzmay
Ege Universitesi,Odemis Meslek Yuksekokulu,Bitkisel Ve Hayvansal Uretim Bolumu,Profesor Ayse Betul Avci
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ayse Deniz Gokengin
Ege Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Ayse Gul Unver
Ege Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Ayse Hilal Bati
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ayse Nur Oktay Alfatli
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Ayse Nur Yuceyar
Ege Universitesi,Ziraat Fakultesi,Sut Teknolojisi Bolumu,Profesor Ayse Sibel Akalin
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Aysegul Akgun
Ege Universitesi,Dis Hekimligi Fakultesi,Klinik Bilimler Bolumu,Profesor Aysegul Demirbas
Ege Universitesi,Hemsirelik Fakultesi,Hemsirelik Bolumu,Profesor Aysegul Donmez
Ege Universitesi,Muhendislik Fakultesi,Tekstil Muhendisligi Bolumu,Profesor Aysegul Korlu
Ege Universitesi,Tip Fakultesi,Temel Tip Bilimleri Bolumu,Profesor Aysegul Uysal
Ege Universitesi,Iletisim Fakultesi,Halkla Iliskiler Ve Tanitim Bolumu,Profesor Aysen Temel Eginli
Ege Universitesi,Hemsirelik Fakultesi,Hemsirelik Bolumu,Profesor Ayten Zaybak
Ege Universitesi,Iktisadi Ve Idari Bilimler Fakultesi,Iktisat Bolumu,Profesor Ayten Aysen Kaya
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Aytul Onal
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Aytul Zerrin Sin
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Aziz Murat Argon
Ege Universitesi,Fen Fakultesi,Kimya Bolumu,Profesor Azize Yesim Salman
Ege Universitesi,Su Urunleri Fakultesi,Su Urunleri Temel Bilimleri Bolumu,Profesor Bahar Bayhan
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Bahar Boydak
Ege Universitesi,Muhendislik Fakultesi,Deri Muhendisligi Bolumu,Profesor Bahri Basaran
Ege Universitesi,Ziraat Fakultesi,Peyzaj Mimarligi Bolumu,Profesor Bahriye Gulgun
Ege Universitesi,Spor Bilimleri Fakultesi,Antrenorluk Egitimi Bolumu,Profesor Bahtiyar Ozcaldiran
Ege Universitesi,Edebiyat Fakultesi,Ingiliz Dili Ve Edebiyati Bolumu,Profesor Baise Sebnem Toplu
Ege Universitesi,Dis Hekimligi Fakultesi,Klinik Bilimler Bolumu,Profesor Banu Dincer
Ege Universitesi,Emel Akin Meslek Yuksekokulu,"Tekstil, Giyim, Ayakkabi Ve Deri Bolumu",Profesor Banu Ozgen Keles
Ege Universitesi,Dis Hekimligi Fakultesi,Klinik Bilimler Bolumu,Profesor Banu Ozveri Koyuncu
Ege Universitesi,Ziraat Fakultesi,Zootekni Bolumu,Profesor Banu Yucel
Ege Universitesi,Tip Fakultesi,Cerrahi Tip Bilimleri Bolumu,Profesor Basak Doganavsargil Yakut
Ege Universitesi,Tip Fakultesi,Dahili Tip Bilimleri Bolumu,Profesor Baybars Veznedaroglu
Ege Universitesi,Fen Fakultesi,Matematik Bolumu,Profesor Bayram Sahin
Ege Universitesi,Eczacilik Fakultesi,Temel Eczacilik Bilimleri Bolumu,Profesor Bayri Erac
Ege Universitesi,Dis Hekimligi Fakultesi,Klinik Bilimler Bolumu,Profesor Bedriye Guniz Baksi Sen
Ege Universitesi,Ziraat Fakultesi,Tarla Bitkileri Bolumu,Profesor Behcet Kir
Ege Universitesi,Muhendislik Fakultesi,Deri Muhendisligi Bolumu,Profesor Behzat Oral Bitlisli
Ege Universitesi,Fen Fakultesi,Biyoloji Bolumu,Profesor Bekir Keskin
Ege Universitesi,Birgivi Ilahiyat Fakultesi,Felsefe Ve Din Bilimleri Bolumu,Profesor Bekir Zakir Coban
Ege Universitesi,Egitim Fakultesi,Temel Egitim Bolumu,Profesor Belgin Arslan Cansever
Ege Universitesi,Fen Fakultesi,Astronomi Ve Uzay Bilimleri Bolumu,Profesor Belinda Kalomeni Yakut
Ege Universitesi,Muhendislik Fakultesi,Insaat Muhendisligi Bolumu,Profesor Bengi Arisoy
